xtf_id;Date;Power;Inclination;Orientation;PlantCategory;ElectricityProductionPlantR
detail_372;02.08.2017;13.42;;;;22075
detail_373;24.12.2014;7.84;;;;9736
detail_374;26.09.2012;29.63;;;;9736
detail_375;28.01.2009;9;;;;9736
detail_376;26.09.2012;103.43;;;;9736
detail_377;06.12.2013;50.16;;;;12659
detail_378;30.05.2017;2.86;;;;12659
detail_379;02.07.2020;8.19;;;;10208
detail_380;25.10.2016;2.48;;;;19466
detail_381;27.01.2017;14;;;;22087
detail_382;20.04.2020;5.04;;;;12276
detail_383;14.12.2010;1.67;;;;11936
detail_384;08.08.2012;1.8;;;;11936
detail_385;23.03.2017;6.9;;;;22142
detail_386;31.03.2017;4.8;;;;12277
detail_387;24.11.2015;4.37;;;;12679
detail_388;14.05.2019;32.41;;;;9450
detail_389;17.12.2013;0.84;;;;22495
detail_390;13.12.2016;2.7;;;;9885
detail_391;01.03.2011;4.9;;;;9885
detail_392;16.12.2022;15;;;;14639
detail_393;09.12.2016;2.7;;;;10573
detail_394;01.12.2017;6.3;;;;12113
detail_395;27.05.2019;7;;;;9497
detail_396;21.03.2017;2.64;;;;16568
detail_397;26.03.2015;82.6;;;;23042
detail_398;04.05.2012;56.2;;;;23042
detail_399;28.09.2016;0.22;;;;11187
detail_400;24.09.2015;13.32;;;;23138
detail_401;24.05.2019;0.15;;;;11188
detail_402;20.12.2016;5.16;;;;10861
detail_403;29.09.2017;5.52;;;;15688
detail_404;15.07.2019;0.3;;;;11181
detail_405;19.08.2020;98;;;;22374
detail_406;20.01.2014;2.42;;;;11197
detail_407;24.09.2014;5.06;;;;18316
detail_408;18.12.2020;14.28;;;;22485
detail_409;30.09.2015;173.84;;;;22525
detail_410;23.12.2016;15.16;;;;22535
detail_411;09.03.2016;70.3;;;;22546
detail_412;29.04.2011;20.5;;;;22546
detail_413;10.03.2016;15.9;;;;22546
detail_414;20.03.2015;8.18;;;;13093
detail_415;14.11.2018;1.98;;;;23415
detail_416;05.10.2015;5.32;;;;25976
detail_417;03.09.2017;7.98;;;;22721
detail_418;23.03.2015;5.45;;;;22721
detail_419;01.10.2014;1.05;;;;12146
detail_420;12.05.2020;36;;;;22993
detail_421;05.07.2016;56.1;;;;23004
detail_422;16.03.2022;791.54;;;;23066
detail_423;23.02.2016;936.3;;;;23086
detail_424;10.08.2012;8.97;;;;19696
detail_425;05.07.2016;2.6;;;;19696
detail_426;08.09.2017;1.18;;;;19696
detail_427;30.06.2017;2.52;;;;23293
detail_428;09.03.2012;1.8;;;;23293
detail_429;07.04.2018;0.9;;;;24229
detail_430;11.11.2020;10;;;;14649
detail_431;14.10.2014;1.87;;;;23334
detail_432;28.07.2016;1.73;;;;19065
detail_433;07.06.2023;3.1;;;;23559
detail_434;29.11.2017;1.61;;;;23563
detail_435;15.12.2014;4.86;;;;11110
detail_436;19.12.2017;99.2;;;;23570
detail_437;17.03.2021;289;;;;9617
