year;nrElcom;nomEw;link;tarif1;tarif2;tarif3;explText;counterCost;loadCurveCost;nbrPowerCat;power1;energy1;eco1;energyAuto1;ecoAuto1;power2;energy2;eco2;energyAuto2;ecoAuto2;power3;energy3;eco3;energyAuto3;ecoAuto3;power4;htnt;stwt;ecoIncl;autot;energy1_bfe;energy1_ht;energy1_nt;energy1_wht;energy1_wnt;energyAuto1_bfe;energyAuto1_ht;energyAuto1_nt;energyAuto1_wht;energyAuto1_wnt;energy2_bfe;energy2_ht;energy2_nt;energy2_wht;energy2_wnt;energyAuto2_bfe;energyAuto2_ht;energyAuto2_nt;energyAuto2_wht;energyAuto2_wnt;energy3_bfe;energy3_ht;energy3_nt;energy3_wht;energy3_wnt;energyAuto3_bfe;energyAuto3_ht;energyAuto3_nt;energyAuto3_wht;energyAuto3_wnt;ht_mofr_on;ht_mofr_off;ht_sa_on;ht_sa_off;ht_su_on;ht_su_off;neg;neg_text;pos;pos_text;leist;leist_power;leist_tax
2024;294;Elektrizitätsversorgung der Gemeinde Widnau;https://www.widnau.ch/de/verwaltung/aemter/?amt_id=1950;https://publikationen.sg.ch/gesetzessammlungen/?tx_diamcommunitylawssg_diamcommunitylawssg%5Baction%5D=download&tx_diamcommunitylawssg_diamcommunitylawssg%5BcommunityLawVersion%5D=2557&tx_diamcommunitylawssg_diamcommunitylawssg%5Bcontroller%5D=CommunityLaw&cHash=733671e01ef79523da27cc984c071563;;;;;;1;0;20.69;0;20.69;0;3000;;;;;;;;;;;;;;;;20.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;258;Elektrizitätsgenossenschaft Bubikon;https://www.eg-bubikon.ch/;https://www.eg-bubikon.ch/public/upload/assets/158/Tarife%20EGB%202024.pdf?fp=1693374527194;;;;;;1;0;18.2;2.5;18.2;2.5;3000;;;;;;;;;;;;;;;;18.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;652;Politische Gemeinde Märstetten;https://www.maerstetten.ch/verwaltung/abteilungen/technische-gemeindewerke/elektrizitaetsversorgung/elektrizitaetsversorgung-tarife.html/126;https://www.maerstetten.ch/public/upload/assets/2398/M%C3%A4rstetten_Tarife_2024.pdf?fp=1710236745392;;;;;;2;0;10;8;10;8;30;10;0;10;0;3000;;;;;;;;;;;10;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;655;Politische Gemeinde Oberglatt;https://www.oberglatt.ch;https://www.oberglatt.ch/public/upload/assets/4129/EWO_R%C3%BCcklieferer%2004RN_2024.pdf?fp=1;;;;;;1;0;14;0;14;0;500;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;339;Elektrizitätsversorgung Rorschacherberg;https://rorschacherberg.ch/;https://rorschacherberg.ch/wp-content/uploads/2023/12/EEA_Sondertarife_2024_Rorschacherberg-1.pdf;;;;;;1;0;10.25;2;10.25;2;3000;;;;;;;;;;;;;;;;10.248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;817;Azienda Elettrica Bregaglia AEB;https://comunedibregaglia.ch/uffici/azienda-elettrica;https://comunedibregaglia.ch/images/Comune/Avvisi/2023/Tariffario-2024-per-fornitura-elettricita_792e4.pdf;;;;;;1;0;7.25;0;7.25;0;3000;;;;;;;;;;;;;;;;7.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;470;Elektrizitätswerk Tägerwilen;https://www.taegerwilen.ch;https://www.taegerwilen.ch/public/upload/assets/2200/2024%20Stromtarif.pdf?fp=1;;;;;;1;0;14;4;14;4;3000;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;247;EW Oftringen AG;https://www.ewoftringen.ch/;https://www.ewoftringen.ch/pages/mod/getMedById.cfm?medId=14958;;;;;;2;0;17;3;17;3;100;17;0;17;0;3000;;;;;;;;;;;17;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;212;Elektra-Genossenschaft Olsberg;https://www.olsberg.ch/verwaltung/online-schalter;https://www.olsberg.ch/sites/default/files/2024-02/Elektra%20Tarifblatt%20EH%202024.pdf;;;;;;1;0;17.3;0;17.3;0;3000;;;;;;;;;;;;;;;;17.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;88;Elektra-Genossenschaft Bellikon-Hausen;https://elektra-bellikon.ch/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;657;Politische Gemeinde Wilen;https://www.wilen.ch;https://www.wilen.ch/_docn/5123830/Tarifblatt_2024_Wilen-1.pdf;;;;;;1;0;10;1;10;1;3000;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;105;Elektra Aeschlen-Linden-Heimenschwand;https://www.elektra-energie.ch/strom/;https://www.elektra-energie.ch/wp-content/uploads/2023/12/Tarifblatt_Linden_2024_v3.pdf;;;;;;1;0;16;5.5;16;5.5;3000;;;;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;38;Eli10 SA;https://www.eli10.ch/;https://eli10.ch/sites/default/files/custom-files/Tarifs_Reprise_Eli10_2024_1.pdf;;;;;;1;0;21.31;1;21.31;1;1000;;;;;;;;;;;;;;;;21.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;368;Elektrizitätswerk Azmoos;https://ewwartau.ch/;https://ewwartau.ch/wp-content/uploads/EWW_Tarifblaetter_2024.pdf;;;;;;1;0;18.5;1;18.5;1;3000;;;;;;;;;;;;;;;;18.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;409;EDSR Energiedienste Staldenried AG;https://edsr.ch/;https://edsr.ch/wp-content/uploads/2023/08/EDSR-Tarifblaetter-2024.pdf;;;Vergütung HKN für PVA > 30 kWp auf Anfrage;;;2;0;9;2;9;2;30;9;0;9;0;3000;;;;;;;;;;;9;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
